TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
sqlancer.cockroachdb.CockroachDBBugs,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2,0
sqlancer.doris.ast.DorisInOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8217171717171717,121,96
sqlancer.cockroachdb.oracle.tlp.CockroachDBTLPGroupByOracle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.614453933747412,75,27
sqlancer.oceanbase.OceanBaseUserCheckException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.cockroachdb.CockroachDBBugs,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2,0
sqlancer.doris.ast.DorisInOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.842550505050505,123,98
sqlancer.cockroachdb.oracle.tlp.CockroachDBTLPGroupByOracle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5464975845410628,76,24
sqlancer.oceanbase.OceanBaseUserCheckException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.questdb.ast.QuestDBUnaryPostfixOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.sqlite3.ast.SQLite3RowValueExpression,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.921875,39,37
sqlancer.yugabyte.ysql.ast.YSQLColumnValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9291666666666667,45,43
sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666667,50,38
sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6700396825396825,116,85
sqlancer.doris.oracle.DorisPivotedQuerySynthesisOracle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2641484225269055,169,32
sqlancer.cnosdb.oracle.tlp.CnosDBTLPBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44173982283607566,164,64
